County,Parcel,Address,HWA,EHS,DBH,Tag,Latitude,Longitude,Notes
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1634,43.053780,-86.23091,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1635,43.053780,-86.23091,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1636,43.053760,-86.23086,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1637,43.053760,-86.23086,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1638,43.053710,-86.2308,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1639,43.053710,-86.2308,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1640,43.053710,-86.2308,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1641,43.053730,-86.2307,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,18,1642,43.053700,-86.2307,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,23,1643,43.053730,-86.2306,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,18,1644,43.053730,-86.2306,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,23,1645,43.053620,-86.2306,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,22,1646,43.054020,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1647,43.053990,-86.2302,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,17,1648,43.054010,-86.2301,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,20,1649,43.053510,-86.2287,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,14,1650,43.053510,-86.2287,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,15,1651,43.053510,-86.2287,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1652,43.054290,-86.2289,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,11,1653,43.054290,-86.2289,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,17,1654,43.054340,-86.2289,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,13,1655,43.054340,-86.2289,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,22,1656,43.054340,-86.2289,triple stem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,28,1657,43.054340,-86.229,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1658,43.054340,-86.229,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,23,1659,43.054290,-86.2289,Triple stem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,33,1660,43.054310,-86.229,5 stem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,30,1661,43.054270,-86.229,triple stem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1662,43.054270,-86.229,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1663,43.054270,-86.229,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,17,1664,43.054270,-86.229,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1665,43.054270,-86.229,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1666,43.054190,-86.2292,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,9,1667,43.054180,-86.2293,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1668,43.054230,-86.2294,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,12,1669,43.054620,-86.2298,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,9,1670,43.054560,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1671,43.054560,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,9,1672,43.054550,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,7,1673,43.054490,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,10,1674,43.054440,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,12,1675,43.054440,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,16,1676,43.054440,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,11,1677,43.054520,-86.2301,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1678,43.054500,-86.2301,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1679,43.054430,-86.2301,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,13,1680,43.054440,-86.2302,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,11,1681,43.054340,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,7,1682,43.054340,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,13,1683,43.054340,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1684,43.054320,-86.2305,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,6,1685,43.054320,-86.2305,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1686,43.054320,-86.2305,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1687,43.054310,-86.2305,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,20,1688,43.054260,-86.2305,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,19,1689,43.054260,-86.2305,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1690,43.054240,-86.2305,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1691,43.054250,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,10,1692,43.054220,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1693,43.054190,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,13,1694,43.054240,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1695,43.054190,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1696,43.054190,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1697,43.054160,-86.2304,Leaning to the S
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1698,43.054100,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,7,1699,43.054100,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1700,43.054100,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1701,43.054090,-86.2304,Leaning to the E
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1702,43.054090,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1703,43.054050,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1704,43.054030,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,14,1705,43.053950,-86.2303,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,32,1706,43.054410,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1707,43.054410,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,11,1708,43.054410,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1709,43.054410,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,13,1710,43.054410,-86.2304,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1711,43.054410,-86.2305,Leaning to the E
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,13,1712,43.054080,-86.2306,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,6,1713,43.054060,-86.2305,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,16,1714,43.054090,-86.2306,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,35,1715,43.054080,-86.2307,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,15,1716,43.054060,-86.2307,Leaning to the NE
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,13,1717,43.054070,-86.23058,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,28,1718,43.054000,-86.23055,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,10,1719,43.053910,-86.23055,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,14,1720,43.053920,-86.2307,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1721,43.053470,-86.23035,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1722,43.053460,-86.23029,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,7,1723,43.053440,-86.23031,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1724,43.053440,-86.23031,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1725,43.053460,-86.23019,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1726,43.053060,-86.23027,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,15,1727,43.053830,-86.23113,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1728,43.053810,-86.23105,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,14,1729,43.053810,-86.23105,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1730,43.053820,-86.23096,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1731,43.053820,-86.23096,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1732,43.053890,-86.23098,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,6,1733,43.053940,-86.231,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1734,43.053930,-86.23104,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,8,1735,43.053920,-86.23097,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1736,43.053940,-86.231,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,7,1737,43.053990,-86.23107,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1738,43.053890,-86.23115,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,15,1739,43.053960,-86.23117,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1740,43.053960,-86.23117,
